State_Abrvtn,Pltfrm,Metal_Lvl,Enrlmt_Stus,Cnsmr,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_OTHR
LA,HC.gov,All,03-new,"15,992",$667 ,$175 ,0.88,0.45,0.08,0.19,0.18,0,0.88,$560 ,$123 ,0.08,0.09,0.2,0.17,0.18,0.27,0.01,0.46,0.54,0,0.07,0,0.14,0.43,0.01,0.02,0.32,0.04,0.72,0.24,0.14,0.86,+,0.4,0.52,0.08,+,0.07,0.2,0.27,0.17,0.13,0.14,0.03
MA,SBM,All,01-atv,"52,394",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.09,0.19,0.19,0.21,0.26,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.16,0.79,0.04,NR,NR,0.11,0.22,0.19,0.14,0.1,0.24
MA,SBM,All,02-aut,"209,106",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.09,0.23,0.21,0.2,0.23,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.12,0.84,0.03,NR,NR,0.12,0.22,0.19,0.13,0.08,0.27
MA,SBM,All,03-new,"32,597",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.13,0.28,0.18,0.16,0.19,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.23,0.71,0.04,NR,NR,0.1,0.2,0.17,0.12,0.11,0.3
MD,SBM,All,01-atv,"31,438",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.09,0.16,0.18,0.21,0.29,0.04,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.45,0.29,0.24,NR,NR,0.1,0.21,0.16,0.11,0.14,0.28
MD,SBM,All,02-aut,"108,103",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.09,0.18,0.17,0.19,0.27,0.05,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.15,0.38,0.44,NR,NR,0.1,0.21,0.13,0.08,0.1,0.38
MD,SBM,All,03-new,"26,497",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.08,0.11,0.25,0.18,0.17,0.19,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.33,0.18,0.43,NR,NR,0.08,0.18,0.12,0.08,0.1,0.44
ME,HC.gov,All,01-atv,"34,978",$577 ,$179 ,0.84,0.32,0.09,0.15,0.08,0,0.84,$474 ,$123 ,0.13,0.05,0.12,0.14,0.18,0.37,0,0.45,0.55,0,0.02,0,0,0.82,0.01,0.02,0.14,0.01,0.91,0.08,0.56,0.44,0.01,0.56,0.39,0.04,+,0.11,0.1,0.2,0.21,0.16,0.19,0.03
ME,HC.gov,All,02-aut,"15,080",$545 ,$200 ,0.76,0.33,0.06,0.12,0.14,0,0.76,$452 ,$107 ,0.13,0.07,0.17,0.15,0.17,0.3,0.01,0.49,0.51,0,0.02,0,0.01,0.76,0.01,0.01,0.2,0.01,0.83,0.16,0.54,0.46,0.01,0.54,0.42,0.02,+,0.11,0.19,0.21,0.18,0.13,0.13,0.04
ME,HC.gov,All,03-new,"9,680",$510 ,$199 ,0.76,0.31,0.08,0.15,0.08,0,0.75,$412 ,$128 ,0.13,0.08,0.2,0.16,0.16,0.27,0,0.48,0.52,0,0.02,0,0.01,0.72,0.01,0.01,0.23,0.02,0.84,0.15,0.51,0.49,0.03,0.52,0.39,0.06,+,0.14,0.1,0.22,0.2,0.15,0.16,0.04
MI,HC.gov,All,01-atv,"143,865",$497 ,$179 ,0.87,0.38,0.08,0.15,0.15,0,0.86,$369 ,$145 ,0.12,0.07,0.12,0.14,0.18,0.37,0.01,0.46,0.54,0,0.04,0,0.02,0.59,0.01,0.01,0.31,0.02,0.79,0.19,0.24,0.76,0.01,0.49,0.45,0.05,0,0.08,0.17,0.22,0.21,0.14,0.15,0.03
MI,HC.gov,All,02-aut,"72,591",$484 ,$233 ,0.72,0.33,0.07,0.14,0.12,0,0.72,$350 ,$152 ,0.11,0.08,0.16,0.15,0.18,0.3,0.02,0.48,0.52,0,0.04,0,0.04,0.56,0.01,0.01,0.34,0.02,0.71,0.27,0.23,0.77,0.01,0.49,0.45,0.05,0,0.11,0.17,0.23,0.19,0.12,0.13,0.05
MI,HC.gov,All,03-new,"50,614",$425 ,$170 ,0.8,0.33,0.06,0.13,0.14,0,0.79,$322 ,$126 ,0.12,0.09,0.2,0.15,0.17,0.27,0.01,0.49,0.51,0,0.04,0,0.05,0.47,0.01,0.02,0.41,0.03,0.7,0.28,0.2,0.8,0.03,0.54,0.39,0.04,0,0.11,0.19,0.22,0.19,0.12,0.14,0.04
MN,SBM,All,01-atv,"14,091",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.11,0.06,0.11,0.13,0.16,0.42,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.55,0.29,0.14,NR,NR,0,0,0.22,0.19,0.25,0.34
MN,SBM,All,02-aut,"76,993",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.11,0.07,0.13,0.14,0.16,0.38,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.53,0.29,0.15,NR,NR,0,0,0.21,0.16,0.21,0.41
MN,SBM,All,03-new,"21,720",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.12,0.09,0.2,0.15,0.15,0.28,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.53,0.27,0.15,NR,NR,0,0.01,0.18,0.12,0.16,0.53
MO,HC.gov,All,01-atv,"120,017",$669 ,$157 ,0.88,0.59,0.06,0.17,0.35,0,0.88,$581 ,$103 ,0.07,0.08,0.14,0.16,0.19,0.36,0,0.45,0.55,0,0.05,0,0.03,0.61,0.01,0.02,0.27,0.02,0.81,0.16,0.3,0.7,0,0.29,0.67,0.03,+,0.08,0.39,0.22,0.12,0.07,0.1,0.03
MO,HC.gov,All,02-aut,"49,408",$630 ,$243 ,0.74,0.49,0.07,0.14,0.28,0,0.74,$525 ,$120 ,0.07,0.1,0.19,0.17,0.18,0.27,0.02,0.46,0.54,0,0.03,0,0.06,0.57,0.01,0.02,0.32,0.03,0.73,0.24,0.27,0.73,0,0.3,0.67,0.02,+,0.11,0.38,0.19,0.11,0.06,0.08,0.06
MO,HC.gov,All,03-new,"45,886",$570 ,$134 ,0.87,0.49,0.05,0.13,0.31,0,0.86,$504 ,$82 ,0.07,0.12,0.2,0.18,0.18,0.25,0,0.47,0.53,0,0.04,0,0.06,0.45,0.01,0.02,0.42,0.03,0.68,0.3,0.26,0.74,0.02,0.39,0.55,0.04,+,0.07,0.42,0.2,0.11,0.06,0.08,0.05
MS,HC.gov,All,01-atv,"52,811",$643 ,$90 ,0.98,0.81,0.06,0.15,0.6,0,0.98,$565 ,$78 ,0.04,0.12,0.13,0.17,0.22,0.32,0.01,0.37,0.63,0,0.05,0,0.18,0.26,0.01,0.01,0.49,0.02,0.74,0.25,0.62,0.38,+,0.15,0.85,0.01,+,0.01,0.66,0.17,0.08,0.04,0.03,0.01
MS,HC.gov,All,02-aut,"28,832",$642 ,$177 ,0.87,0.76,0.07,0.16,0.53,0,0.87,$534 ,$109 ,0.04,0.13,0.16,0.18,0.2,0.26,0.02,0.38,0.62,0,0.03,0,0.25,0.26,0.01,0.01,0.44,0.01,0.65,0.34,0.61,0.39,+,0.09,0.91,0.01,+,0.01,0.61,0.18,0.09,0.04,0.03,0.04
MS,HC.gov,All,03-new,"29,323",$565 ,$82 ,0.95,0.66,0.04,0.11,0.51,0,0.95,$509 ,$59 ,0.04,0.16,0.18,0.19,0.21,0.22,0,0.42,0.58,0,0.03,0,0.18,0.17,0.01,0.01,0.61,0.01,0.6,0.39,0.58,0.42,+,0.3,0.69,0.01,+,0.01,0.7,0.14,0.07,0.03,0.02,0.03
MT,HC.gov,All,01-atv,"25,984",$591 ,$180 ,0.85,0.27,0.04,0.13,0.07,0.03,0.85,$485 ,$124 ,0.09,0.06,0.14,0.17,0.17,0.36,0,0.46,0.54,0.02,0.01,0,0,0.82,0.01,0.02,0.11,0.02,0.93,0.05,0.75,0.25,0,0.65,0.27,0.08,+,0.1,0.08,0.21,0.17,0.17,0.23,0.03
MT,HC.gov,All,02-aut,"10,725",$568 ,$248 ,0.71,0.29,0.04,0.12,0.08,0.04,0.68,$468 ,$113 ,0.1,0.07,0.19,0.17,0.16,0.29,0.02,0.5,0.5,0.04,0.01,0,0,0.75,0.01,0.02,0.17,0.02,0.86,0.12,0.73,0.27,0.01,0.61,0.32,0.06,+,0.13,0.13,0.23,0.17,0.13,0.15,0.05
MT,HC.gov,All,03-new,"8,002",$508 ,$177 ,0.81,0.26,0.03,0.13,0.08,0.02,0.8,$412 ,$115 ,0.11,0.1,0.23,0.17,0.15,0.23,0,0.49,0.51,0.01,0.01,0,0,0.73,0.01,0.03,0.2,0.03,0.85,0.12,0.72,0.28,0.01,0.61,0.27,0.11,+,0.11,0.1,0.24,0.19,0.15,0.19,0.03
NC,HC.gov,All,01-atv,"297,318",$651 ,$113 ,0.92,0.49,0.03,0.13,0.33,0,0.92,$583 ,$83 ,0.09,0.09,0.14,0.17,0.21,0.3,0.01,0.43,0.57,0,0.06,0,0.08,0.53,0.01,0.02,0.29,0.06,0.8,0.14,0.25,0.75,0.01,0.36,0.51,0.12,+,0.04,0.37,0.19,0.15,0.1,0.12,0.03
NC,HC.gov,All,02-aut,"117,093",$656 ,$174 ,0.84,0.52,0.05,0.14,0.33,0,0.84,$574 ,$96 ,0.09,0.1,0.19,0.17,0.19,0.24,0.02,0.45,0.55,0.01,0.03,0,0.1,0.48,0.01,0.02,0.35,0.05,0.71,0.24,0.29,0.71,0.01,0.3,0.6,0.09,+,0.05,0.38,0.19,0.14,0.08,0.1,0.05
NC,HC.gov,All,03-new,"121,392",$567 ,$108 ,0.89,0.45,0.02,0.1,0.32,0,0.88,$519 ,$67 ,0.08,0.12,0.2,0.18,0.2,0.21,0.01,0.46,0.54,0,0.04,0,0.11,0.38,0.01,0.02,0.44,0.06,0.67,0.27,0.22,0.78,0.03,0.41,0.46,0.1,+,0.04,0.43,0.19,0.13,0.08,0.09,0.05
ND,HC.gov,All,01-atv,"13,459",$503 ,$122 ,0.89,0.3,0.03,0.18,0.07,0.02,0.88,$432 ,$88 ,0.25,0.07,0.14,0.15,0.12,0.27,0,0.48,0.52,0.01,0.02,0,0.01,0.75,0.01,0.02,0.18,0.02,0.89,0.09,0.66,0.34,0.01,0.38,0.3,0.32,+,0.06,0.08,0.27,0.22,0.16,0.18,0.03
ND,HC.gov,All,02-aut,"4,967",$465 ,$180 ,0.7,0.33,0.04,0.13,0.09,0.07,0.69,$411 ,$69 ,0.23,0.09,0.17,0.16,0.13,0.21,0.01,0.51,0.49,0.07,0.02,0,0.02,0.7,0.01,0.02,0.16,0.03,0.82,0.15,0.6,0.4,0.02,0.46,0.34,0.17,+,0.12,0.14,0.25,0.17,0.12,0.13,0.06
ND,HC.gov,All,03-new,"4,283",$450 ,$124 ,0.84,0.24,0.02,0.12,0.08,0.02,0.84,$390 ,$87 ,0.23,0.09,0.21,0.15,0.13,0.19,0,0.5,0.5,0.02,0.03,0,0.03,0.64,0.01,0.03,0.25,0.03,0.8,0.17,0.58,0.42,0.03,0.38,0.23,0.36,+,0.08,0.1,0.26,0.2,0.15,0.18,0.04
NE,HC.gov,All,01-atv,"56,349",$739 ,$82 ,0.95,0.25,0.02,0.11,0.12,0.01,0.95,$691 ,$56 ,0.18,0.09,0.14,0.16,0.16,0.27,0,0.48,0.52,0,0.02,0,0.01,0.68,0.01,0.01,0.27,0.04,0.8,0.16,0.57,0.43,0,0.55,0.25,0.2,+,0.03,0.15,0.19,0.22,0.17,0.23,0.01
NE,HC.gov,All,02-aut,"18,914",$729 ,$134 ,0.87,0.37,0.02,0.08,0.26,0.01,0.87,$685 ,$50 ,0.11,0.11,0.2,0.18,0.16,0.22,0.01,0.47,0.53,0.01,0.02,0,0.03,0.65,0.01,0.02,0.26,0.07,0.75,0.18,0.45,0.55,0.01,0.36,0.4,0.24,+,0.03,0.39,0.19,0.15,0.09,0.1,0.03
NE,HC.gov,All,03-new,"13,425",$638 ,$94 ,0.91,0.24,0.02,0.1,0.11,0.01,0.91,$598 ,$51 ,0.18,0.11,0.2,0.16,0.15,0.2,0,0.49,0.51,0.01,0.03,0,0.02,0.55,0.01,0.02,0.37,0.07,0.68,0.25,0.44,0.56,0.01,0.62,0.24,0.13,+,0.05,0.17,0.21,0.21,0.15,0.19,0.02
NH,HC.gov,All,01-atv,"24,922",$465 ,$229 ,0.69,0.34,0.09,0.16,0.09,0,0.69,$342 ,$153 ,0.07,0.06,0.13,0.14,0.19,0.4,0.01,0.45,0.55,0,0.04,0,0,0.71,0.01,0.01,0.23,0.02,0.87,0.11,0.44,0.56,0.01,0.42,0.48,0.08,+,0.22,0.09,0.19,0.16,0.11,0.18,0.05
NH,HC.gov,All,02-aut,"12,822",$433 ,$252 ,0.57,0.33,0.08,0.14,0.1,0,0.57,$318 ,$136 ,0.08,0.08,0.18,0.15,0.18,0.31,0.01,0.48,0.52,0,0.02,0,0.01,0.65,0.01,0.01,0.3,0.03,0.75,0.22,0.4,0.6,0.02,0.39,0.52,0.07,+,0.25,0.12,0.19,0.14,0.09,0.14,0.06
NH,HC.gov,All,03-new,"8,926",$412 ,$233 ,0.61,0.29,0.07,0.13,0.08,0,0.6,$299 ,$147 ,0.09,0.1,0.21,0.15,0.17,0.29,0.01,0.49,0.51,0,0.04,0,0.01,0.59,0.01,0.02,0.33,0.03,0.77,0.19,0.4,0.6,0.03,0.43,0.43,0.12,+,0.25,0.1,0.18,0.15,0.11,0.16,0.05
NJ,SBM,All,01-atv,"33,855",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.08,0.15,0.14,0.21,0.34,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.15,0.84,0.01,NR,NR,0.15,0.25,0.2,0.13,0.14,0.15
NJ,SBM,All,02-aut,"159,956",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.08,0.08,0.14,0.14,0.2,0.32,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.24,0.74,0.02,NR,NR,0.16,0.24,0.15,0.1,0.14,0.2
NJ,SBM,All,03-new,"75,749",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.1,0.23,0.16,0.19,0.23,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.23,0.74,0.02,NR,NR,0.14,0.23,0.17,0.12,0.16,0.18
NM,HC.gov,All,01-atv,"24,347",$484 ,$192 ,0.76,0.33,0.05,0.16,0.11,0.01,0.76,$385 ,$125 ,0.07,0.05,0.1,0.13,0.19,0.44,0.01,0.44,0.56,0.01,0.04,0,0.01,0.55,0.04,0.03,0.32,0.31,0.59,0.1,0.31,0.69,0,0.37,0.35,0.27,+,0.16,0.12,0.23,0.17,0.13,0.14,0.05
NM,HC.gov,All,02-aut,"9,119",$457 ,$212 ,0.66,0.33,0.04,0.14,0.13,0.02,0.65,$375 ,$104 ,0.06,0.07,0.15,0.14,0.19,0.34,0.04,0.47,0.53,0.02,0.04,0,0.01,0.51,0.04,0.02,0.36,0.35,0.48,0.17,0.32,0.68,0,0.34,0.41,0.25,+,0.15,0.16,0.26,0.16,0.11,0.1,0.07
NM,HC.gov,All,03-new,"9,518",$415 ,$186 ,0.7,0.28,0.04,0.12,0.11,0.01,0.7,$329 ,$107 ,0.09,0.08,0.15,0.16,0.19,0.31,0.01,0.47,0.53,0.01,0.03,0,0.01,0.46,0.03,0.02,0.43,0.3,0.48,0.23,0.3,0.7,0.01,0.48,0.31,0.21,+,0.19,0.15,0.22,0.15,0.11,0.13,0.05
NV,SBM,All,01-atv,"19,186",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.14,0.07,0.14,0.16,0.18,0.29,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.39,0.57,0.04,NR,NR,0.27,0.23,0.19,0.08,0.08,0.16
NV,SBM,All,02-aut,"37,420",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.14,0.07,0.14,0.16,0.18,0.29,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.39,0.57,0.04,NR,NR,0.26,0.24,0.18,0.09,0.08,0.17
NV,SBM,All,03-new,"25,297",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.14,0.07,0.14,0.16,0.18,0.29,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.39,0.57,0.04,NR,NR,0.25,0.24,0.17,0.09,0.08,0.17
NY,SBM,All,01-atv,"70,375",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
NY,SBM,All,02-aut,"111,433",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
NY,SBM,All,03-new,"34,081",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
OH,HC.gov,All,01-atv,"108,211",$542 ,$236 ,0.78,0.31,0.08,0.14,0.09,0,0.78,$391 ,$168 ,0.11,0.06,0.12,0.13,0.17,0.4,0.01,0.45,0.55,0,0.05,0,0.03,0.68,0.01,0.02,0.21,0.02,0.88,0.1,0.23,0.77,0.01,0.56,0.39,0.04,+,0.16,0.11,0.21,0.21,0.13,0.15,0.03
OH,HC.gov,All,02-aut,"51,767",$527 ,$286 ,0.65,0.31,0.07,0.14,0.1,0,0.65,$372 ,$166 ,0.11,0.07,0.17,0.14,0.16,0.33,0.02,0.48,0.52,0,0.03,0,0.05,0.61,0.01,0.01,0.28,0.02,0.77,0.21,0.19,0.81,0.01,0.5,0.44,0.05,+,0.2,0.15,0.22,0.18,0.1,0.1,0.05
OH,HC.gov,All,03-new,"41,091",$473 ,$210 ,0.75,0.3,0.06,0.13,0.1,0,0.75,$351 ,$143 ,0.11,0.09,0.19,0.15,0.17,0.29,0.01,0.48,0.52,0,0.05,0,0.06,0.52,0.01,0.02,0.34,0.03,0.75,0.22,0.19,0.81,0.02,0.57,0.37,0.04,+,0.15,0.15,0.23,0.19,0.12,0.12,0.04
OK,HC.gov,All,01-atv,"87,450",$642 ,$90 ,0.96,0.57,0.04,0.11,0.26,0.16,0.94,$584 ,$62 ,0.12,0.09,0.14,0.18,0.18,0.28,0.01,0.44,0.56,0.12,0.06,0,0.03,0.5,0.01,0.05,0.23,0.06,0.76,0.18,0.4,0.6,0,0.41,0.44,0.15,+,0.02,0.35,0.21,0.19,0.11,0.09,0.02
OK,HC.gov,All,02-aut,"50,380",$619 ,$143 ,0.87,0.56,0.04,0.1,0.23,0.19,0.85,$557 ,$64 ,0.12,0.11,0.18,0.19,0.17,0.21,0.01,0.45,0.55,0.17,0.02,0,0.03,0.39,0.01,0.04,0.34,0.05,0.63,0.33,0.45,0.55,0,0.41,0.44,0.15,+,0.03,0.4,0.2,0.16,0.09,0.08,0.04
OK,HC.gov,All,03-new,"33,721",$582 ,$93 ,0.91,0.51,0.03,0.1,0.29,0.09,0.91,$539 ,$54 ,0.11,0.13,0.19,0.18,0.18,0.21,0.01,0.47,0.53,0.06,0.04,0,0.04,0.43,0.01,0.04,0.37,0.06,0.65,0.29,0.37,0.63,0.02,0.39,0.44,0.16,+,0.03,0.41,0.2,0.15,0.09,0.08,0.05
OR,HC.gov,All,01-atv,"83,702",$589 ,$239 ,0.75,0.3,0.07,0.14,0.08,0.01,0.74,$473 ,$156 ,0.07,0.05,0.13,0.17,0.2,0.36,0.01,0.44,0.56,0.01,0.07,0.01,0.01,0.67,0.01,0.03,0.19,0.05,0.87,0.08,0.22,0.78,0,0.45,0.41,0.13,+,0.18,0.08,0.2,0.16,0.13,0.2,0.05
OR,HC.gov,All,02-aut,"31,057",$543 ,$288 ,0.59,0.28,0.06,0.13,0.09,0.01,0.59,$434 ,$141 ,0.08,0.07,0.2,0.19,0.18,0.26,0.02,0.46,0.54,0.01,0.06,0.01,0.01,0.63,0.02,0.03,0.24,0.06,0.77,0.17,0.2,0.8,0.01,0.43,0.44,0.12,+,0.21,0.11,0.21,0.16,0.1,0.13,0.08
OR,HC.gov,All,03-new,"26,330",$497 ,$218 ,0.71,0.28,0.05,0.13,0.09,0.01,0.7,$395 ,$138 ,0.08,0.09,0.22,0.19,0.18,0.23,0.01,0.47,0.53,0,0.07,0.01,0.01,0.58,0.02,0.03,0.27,0.07,0.79,0.14,0.19,0.81,0.01,0.5,0.36,0.13,+,0.17,0.09,0.21,0.16,0.12,0.18,0.07
PA,SBM,All,01-atv,"55,699",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.06,0.13,0.14,0.2,0.41,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.23,0.45,0.32,NR,NR,0.17,0.27,0.2,0.12,0.13,0.1
PA,SBM,All,02-aut,"206,789",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.07,0.15,0.16,0.19,0.37,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.27,0.5,0.22,NR,NR,0.18,0.26,0.16,0.11,0.14,0.13
PA,SBM,All,03-new,"75,234",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.09,0.22,0.16,0.17,0.3,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.31,0.34,0.33,NR,NR,0.15,0.25,0.17,0.11,0.15,0.17
RI,SBM,All,01-atv,"2,357",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.08,0.18,0.2,0.22,0.27,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.34,0.36,0.3,NR,NR,0.13,0.22,0.18,0.13,0.14,0.19
RI,SBM,All,02-aut,"24,229",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.08,0.16,0.18,0.21,0.3,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.25,0.41,0.33,NR,NR,0.2,0.26,0.15,0.11,0.11,0.18
RI,SBM,All,03-new,"4,588",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.1,0.27,0.19,0.17,0.21,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.29,0.38,0.31,NR,NR,0.16,0.23,0.17,0.11,0.12,0.23
SC,HC.gov,All,01-atv,"130,232",$606 ,$120 ,0.92,0.4,0.03,0.1,0.27,0,0.92,$528 ,$88 ,0.09,0.08,0.13,0.15,0.2,0.33,0.01,0.43,0.57,0,0.05,0,0.09,0.51,0.01,0.01,0.33,0.03,0.77,0.2,0.17,0.83,0.01,0.5,0.43,0.07,+,0.04,0.36,0.19,0.16,0.11,0.12,0.03
SC,HC.gov,All,02-aut,"45,439",$577 ,$179 ,0.81,0.36,0.03,0.09,0.23,0,0.81,$490 ,$97 ,0.08,0.1,0.19,0.17,0.19,0.25,0.02,0.44,0.56,0,0.02,0,0.12,0.45,0.01,0.01,0.38,0.03,0.67,0.29,0.2,0.8,0.01,0.5,0.43,0.06,+,0.05,0.36,0.19,0.16,0.09,0.1,0.05
SC,HC.gov,All,03-new,"54,379",$530 ,$102 ,0.9,0.35,0.02,0.08,0.25,0,0.9,$474 ,$68 ,0.07,0.12,0.19,0.17,0.2,0.24,0.01,0.46,0.54,0,0.03,0,0.11,0.35,0.01,0.01,0.49,0.03,0.62,0.35,0.17,0.83,0.02,0.55,0.37,0.06,+,0.04,0.42,0.19,0.14,0.09,0.09,0.04
SD,HC.gov,All,01-atv,"19,874",$719 ,$117 ,0.94,0.44,0.08,0.13,0.22,0.02,0.94,$642 ,$91 ,0.15,0.08,0.16,0.17,0.14,0.29,0,0.46,0.54,0.02,0.02,0,0.01,0.84,0.01,0.02,0.09,0.02,0.93,0.05,0.67,0.33,0.01,0.47,0.48,0.03,+,0.02,0.25,0.19,0.21,0.14,0.16,0.03
SD,HC.gov,All,02-aut,"5,738",$672 ,$184 ,0.83,0.42,0.07,0.12,0.19,0.05,0.82,$597 ,$85 ,0.15,0.1,0.19,0.18,0.14,0.23,0.01,0.49,0.51,0.04,0.01,0,0.01,0.75,0.01,0.02,0.16,0.03,0.85,0.12,0.63,0.37,0.01,0.48,0.48,0.03,+,0.05,0.27,0.21,0.19,0.11,0.12,0.06
SD,HC.gov,All,03-new,"5,763",$654 ,$129 ,0.9,0.41,0.06,0.12,0.2,0.03,0.89,$589 ,$87 ,0.15,0.12,0.2,0.15,0.15,0.22,0,0.49,0.51,0.02,0.02,0,0.01,0.73,0.01,0.03,0.17,0.03,0.85,0.11,0.6,0.4,0.03,0.5,0.43,0.04,+,0.04,0.26,0.21,0.19,0.13,0.14,0.04
TN,HC.gov,All,01-atv,"114,456",$643 ,$149 ,0.89,0.47,0.05,0.14,0.28,0,0.89,$556 ,$100 ,0.05,0.07,0.14,0.15,0.21,0.37,0.01,0.44,0.56,0,0.05,0,0.06,0.67,0.01,0.02,0.19,0.03,0.86,0.11,0.29,0.71,0,0.45,0.54,0.01,+,0.07,0.34,0.22,0.14,0.1,0.1,0.03
TN,HC.gov,All,02-aut,"48,521",$629 ,$224 ,0.79,0.46,0.06,0.13,0.27,0,0.78,$517 ,$129 ,0.06,0.09,0.19,0.17,0.2,0.28,0.02,0.47,0.53,0,0.03,0,0.09,0.58,0.01,0.02,0.27,0.03,0.76,0.21,0.27,0.73,0,0.39,0.59,0.01,+,0.08,0.36,0.21,0.12,0.08,0.08,0.07
